"fdp_list","power_list","power_eur_list","power_afr_list","power_homo_list"
0.173461656779255,0.47825,0.356,0.688999999999999,0.817
0.173957164938152,0.384,0.659,0.063,0.77
0.173793514922718,0.383,0.662,0.055,0.771
0.175242077709745,0.385,0.668,0.049,0.78
0.175265647876734,0.3895,0.678,0.05,0.787
0.175621444413806,0.39025,0.675,0.055,0.787
0.15364538851127,0.38075,0.442,0.371,0.661
0.173946970831184,0.384,0.658,0.064,0.77
0.173521240074629,0.4805,0.331,0.722,0.818
0.152413554996272,0.33925,0.431,0.245,0.637
0.160015412260432,0.38,0.469,0.324,0.679
0.17540671083622,0.38625,0.667,0.054,0.78
0.151530400639777,0.26075,0.349,0.04,0.617
